vendor_id,customer_id,sale_date,sale_amount,product_name
62,62,3/26/2021,8868.48,Travel Makeup Organizer
63,63,9/20/2021,4906.01,Smart Fitness Scale
64,64,9/6/2021,403.84,Skincare Set
65,65,10/24/2021,1125.3,Pasta (Linguine)
66,66,12/15/2021,8184.44,Pet Waterer with Filtration
67,67,6/9/2021,7558.51,Hand Crank Blender
68,68,11/1/2021,2720.17,Kale and Quinoa Salad
69,69,4/4/2021,6560.86,Coconut Curry Sauce
70,70,3/5/2021,7710.11,Pet Grooming Gloves
71,71,3/19/2021,8252.95,Sweet Potato & Kale Hash
72,72,5/9/2021,8436.06,Beach Cover-Up
73,73,7/26/2021,5011.2,Spinach and Ricotta Ravioli
74,74,5/27/2021,5752.1,Action Camera
75,75,6/20/2021,6420.03,Garden Kneeler and Seat
76,76,10/14/2021,9961.34,Herbal Garden Starter Kit
77,77,6/11/2021,4559.06,Personal Blender
78,78,11/30/2021,25.68,Memory Foam Pillow
79,79,3/8/2021,2994.03,Dog Collar
80,80,2/19/2021,6832.49,Silicone Baking Mats
81,81,7/7/2021,9156.46,Homemade Salsa
82,82,7/18/2021,9908.35,Mediterranean Flatbread
83,83,8/4/2021,7084.3,Coconut Rice
84,84,12/22/2021,1809.85,Tactical Backpack
85,85,12/10/2021,3316.16,Italian Sausage Links
86,86,12/29/2021,9193.74,Smart Scale
87,87,3/28/2021,5285.95,Raisin Cinnamon Granola
88,88,8/27/2021,8834.76,Chili Beans (canned)
89,89,11/5/2021,5119.49,Himalayan Pink Salt
90,90,12/12/2021,8970.6,Pomegranate Juice
91,91,12/2/2021,814.14,Classic Caesar Salad Kit
92,92,10/4/2021,7616.84,Coconut Chips
93,93,3/26/2021,660.13,Trainers with Mesh Inserts
94,94,4/25/2021,9013.95,Vegetable and Cheese Quesadillas
95,95,6/10/2021,5764.53,Chickpeas
96,96,12/3/2021,4230.02,Vegetarian Stir Fry Sauce
97,97,4/12/2021,5794.92,Indian Curry Sauce
98,98,9/20/2021,7460.29,Digital Meat Thermometer
99,99,1/16/2021,1856.9,Organic Whole Grain Oats
100,100,10/10/2021,5814.56,Mango Chili Salsa
